GTIN,BARCODE,RMS_CODE,DESCRIPTION,CONCEPT_GROUP,BRAND,RETURN_POLICY,SUPPLIER_NAME,ALSHAYA_CODE,RETURNABLE
,,220157972,RESYL SYRUP 100ML,PHARMACY,RESYL,NO RETURN / NO REPLACEMENT,CITY PHARMACY,,
,,220158069,CUTIVATE OINTMENT 15GM,PHARMACY,CUTIVATE,NO RETURN / NO REPLACEMENT,AKAB MEDICAL SUPPLIES,,
,,220158071,ZANTAC 150MG TABLETS 20S,PHARMACY,ZANTAC,NO RETURN / NO REPLACEMENT,AKAB MEDICAL SUPPLIES,,
,,220158155,HERMES EXTRA 20S,VITAMINS/MINERALS/SUPPLEMENTS,HERMES,NO RETURN / NO REPLACEMENT,PHARMALINK,,
,,220158156,NOW CRANBERRY CONCEN 100 CAPS,GSL,NOW,NO RETURN / NO REPLACEMENT,NEW COUNTRY,,
,,220158158,HONIBE HONEY GUMMIES KIDS OMEGA 3 60S,CHILDRENS HEALTH,HONIBE,NO RETURN / NO REPLACEMENT,NEW COUNTRY,,
,,220158284,BEURER HA50 HEARING AID,HEALTHCHECKS,BEURER,NO RETURN / NO REPLACEMENT,H.W. INTERNATIONAL L.L.C,,
,,220158324,NOW PROBIOTIC10 24 PACKETS,GSL,NOW,NO RETURN / NO REPLACEMENT,NEW COUNTRY,,
,,220158325,21ST CENTURY FAT BURNER CAPS 60S,VITAMINS/MINERALS/SUPPLEMENTS,21ST CENTURY,NO RETURN / NO REPLACEMENT,NEW COUNTRY,,
,,220158407,WN GINKOBILOBA 60MG TAB 60S,VITAMINS/MINERALS/SUPPLEMENTS,WEBBER NATURALS,NO RETURN / NO REPLACEMENT,AL MANARA,,
,,220158426,RHINATHIOL ADULTSYRUP 125ML,GSL,RHINATHIOL,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220158429,LASTACAFT EYE DP 025 3ML,EYE/EAR CARE,LASTACAFT,NO RETURN / NO REPLACEMENT,AKAB MEDICAL SUPPLIES,,
,,220158477,WN EVENPRIMROSE 500MG 90S,VITAMINS/MINERALS/SUPPLEMENTS,WEBBER NATURALS,NO RETURN / NO REPLACEMENT,AL MANARA,,
,,220158484,ENZYMEDICA NUTRITION TWO DILY CAPS 60S,VITAMINS/MINERALS/SUPPLEMENTS,ENZYMEDICA,NO RETURN / NO REPLACEMENT,NEW COUNTRY,,
,,220158499,BEURER EM 41 DIGITAL STIMULATION INIT,HEALTHCHECKS,BEURER,NO RETURN / NO REPLACEMENT,H.W. INTERNATIONAL L.L.C,,
,,220158500,BEURER BY 11 EXPRESS THERMOMETER MONKEY,HEALTHCHECKS,BEURER,NO RETURN / NO REPLACEMENT,H.W. INTERNATIONAL L.L.C,,
,,220158526,MARNYS CALHELP FOOD SUP 30CAP,VITAMINS/MINERALS/SUPPLEMENTS,MARNYS,NO RETURN / NO REPLACEMENT,AL MULTAQA,,
,,220158688,21ST CENTURY NTURAL CAL 600D 75S,VITAMINS/MINERALS/SUPPLEMENTS,21ST CENTURY,NO RETURN / NO REPLACEMENT,NEW COUNTRY,,
,,220158689,BRONCHILON SYRUP 100ML,GSL,BRONCHILON,NO RETURN / NO REPLACEMENT,ALPHAPHARM,,
,,220158705,BREATHE RIGHT CLEAR NASALSTRIPS 10S REG,GSL,BREATHE RIGHT,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220158771,EZY DOSE EZY DOSE CALIBRATED GLASS DROPER,TRAVEL HEALTH,EZY DOSE,NO RETURN / NO REPLACEMENT,AL MASOOD TRADING,,
,,220158824,WN GLUCHO CHON 750600 90 TAB,VITAMINS/MINERALS/SUPPLEMENTS,WEBBER NATURALS,NO RETURN / NO REPLACEMENT,AL MANARA,,
,,220158846,ELEVIT PRONATAL 100TABS,VITAMINS/MINERALS/SUPPLEMENTS,ELEVIT,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220156803,MYCOSTATIN ORAL SUSP 60ML,PHARMACY,MYCOSTATIN,NO RETURN / NO REPLACEMENT,MODERN PHARMACY,,
,,220159137,SCHOLL VELVET SMOOTH EXPRESS PEDI BLUE 25OFF,FOOTCARE,SCHOLL,NO RETURN / NO REPLACEMENT,CITY PHARMACY,,
,,220159164,BETNOVATE OINTMENT 30GM,PHARMACY,BETNOVATE,NO RETURN / NO REPLACEMENT,AL ITTIHAD DRUG STORE,,
,,220204025,HENGERXI DISPOSABLE MASK 50S,FIRST AID,HENGERXI,NO RETURN / NO REPLACEMENT,NALEE INTERNATIONAL GENERAL TRADING LLC,,
,,220159358,NATURE MADE VITAMIN C 1000MG 100 TABS,VITAMINS/MINERALS/SUPPLEMENTS,NATURE MADE,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220159444,BEURER PO 40 PULSE OXIMETER,HEALTHCHECKS,BEURER,NO RETURN / NO REPLACEMENT,H.W. INTERNATIONAL L.L.C,,
,,220204742,CIVIL DISPOSABLE MASK BLACK 50S,FIRST AID,CIVIL,NO RETURN / NO REPLACEMENT,NALEE INTERNATIONAL GENERAL TRADING LLC,,
,,220159607,WN APPLE CIDER VINEGAR 250S,VITAMINS/MINERALS/SUPPLEMENTS,WEBBER NATURALS,NO RETURN / NO REPLACEMENT,AL MANARA,,
,,220159691,MAX VINYL GLOVE POWDERED LARGE,FIRST AID,MAX,NO RETURN / NO REPLACEMENT,BEESAN,,
,,220159731,WN ZINC TABLETS 180S,VITAMINS/MINERALS/SUPPLEMENTS,WEBBER NATURALS,NO RETURN / NO REPLACEMENT,AL MANARA,,
,,220159885,VITANE CALCICARE 30 TABLETS,VITAMINS/MINERALS/SUPPLEMENTS,VITANE,NO RETURN / NO REPLACEMENT,AL MANARA,,
,,220235396,DEEP FREEZE COLD GEL 100GM,GSL,MENTHOLATUM,NO RETURN / NO REPLACEMENT,GULF DRUG EST,,
,,220229602,ELEGANT HAND SANITIZER SPRAY 250 ML,FIRST AID,ELEGANT,NO RETURN / NO REPLACEMENT,NALEE INTERNATIONAL GENERAL TRADING LLC,,
,,220157584,NEUROBION TABLETS 20S,PHARMACY,NEUROBION,NO RETURN / NO REPLACEMENT,MODERN PHARMACY,,
,,220160123,V PHL CAFFEINE 200MG 60CAPS,VITAMINS/MINERALS/SUPPLEMENTS,PHL,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220160128,3M MEDIPOREPAD SFT CLTH DRSNG ONE SHEET10X1025 PER BOX,PHARMACY,3M,NO RETURN / NO REPLACEMENT,NEW MEDICAL CENTER,,
,,220160189,VITANE IROVIT CAP 30S,VITAMINS/MINERALS/SUPPLEMENTS,VITANE,NO RETURN / NO REPLACEMENT,AL MANARA,,
,,220160191,V MR TUMEE VITAMIN C 60S,CHILDRENS HEALTH,MR TUMEE,NO RETURN / NO REPLACEMENT,AL RAHMA,,
,,220160241,MEDI STERILE GAUZE SWAB 8PLY 3X3 100PCBOX,FIRST AID,MAX,NO RETURN / NO REPLACEMENT,BEESAN,,
,,220160280,GENTADEXA EYE DROPS 10ML,PHARMACY,GENTAMYCIN,NO RETURN / NO REPLACEMENT,AL HAYAT,,
,,220160288,PURITANS PRIDE COMPLETE B 100S,VITAMINS/MINERALS/SUPPLEMENTS,PURITANS PRIDE,NO RETURN / NO REPLACEMENT,PHARMA PLUS DRUG STORE,,
,,220160366,BEURER MG 147 MASSAGE PILLOW,HEALTHCHECKS,BEURER,NO RETURN / NO REPLACEMENT,H.W. INTERNATIONAL L.L.C,,
,,129941897,SUCRALOSA 500 TABLETS,DIABETIC CARE,SUCRALOSA,NO RETURN / NO REPLACEMENT,GREEN PHARMA STORE,,
,,220160478,PHARMALINE OSTEOAMINE 30 TABS,VITAMINS/MINERALS/SUPPLEMENTS,PHARMALINE,NO RETURN / NO REPLACEMENT,ALFAONE,,
,,220160489,VIBROCIL NASAL GEL 12GM,PHARMACY,VIBROCIL,NO RETURN / NO REPLACEMENT,CITY PHARMACY,,
,,220160495,YLLUME SKIN SUP 800MG PHYTOFLORAL 30CAP,VITAMINS/MINERALS/SUPPLEMENTS,YLLUME,NO RETURN / NO REPLACEMENT,AL ITTIHAD DRUG STORE,,
,,220160497,BACTROBAN NASAL OINTMENT 3GM,PHARMACY,BACTROBAN,NO RETURN / NO REPLACEMENT,AL ITTIHAD DRUG STORE,,
,,220230298,NB MINI FISH OIL 90SG,VITAMINS/MINERALS/SUPPLEMENTS,NATURES BOUNTY,NO RETURN / NO REPLACEMENT,VITAVISION MEDICAL SUPPLIES,,
,,220160552,MAX SPHYGOMANOMETER,HEALTHCHECKS,MAX,NO RETURN / NO REPLACEMENT,BEESAN,,
,,220160615,LUMIGAN EYE DROPS 3ML,PHARMACY,LUMIGAN,NO RETURN / NO REPLACEMENT,AKAB MEDICAL SUPPLIES,,
,,220160660,MAX LATEX POWDERED GLOVE LARGE,FIRST AID,MAX,NO RETURN / NO REPLACEMENT,BEESAN,,
,,220160661,LYTESS HIGH WAIST PUSHUP PANTY BEIGE VARIOUS SIZES,WEIGHT MANAGEMENT,LYTESS,NO RETURN / NO REPLACEMENT,BEESAN,,
,,220160692,AD UB351 WRIST BPM,HEALTHCHECKS,AD,NO RETURN / NO REPLACEMENT,NEW COUNTRY,,
,,220160897,DIFFLAM CREAM 50GM,GSL,DIFFLAM,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220160902,ACTIFED TABLETS 12S,PHARMACY,ACTIFED,NO RETURN / NO REPLACEMENT,IBN AL BEETAR TRDG STORE LLC,,
,,220160966,HEALTHERIES SLEEP CHAMOMILE  PASSNFLWR TEA BAG 20S,COMPLEMENTARY MEDICINE,HEALTHERIES,NO RETURN / NO REPLACEMENT,CITY PHARMACY,,
,,220161059,PEDIACOL 50ML,CHILDRENS HEALTH,PEDIAVIT,NO RETURN / NO REPLACEMENT,PHARMALINK,,
,,220161117,NOW C ELDERBERRY 30S PACKETS 30S,VITAMINS/MINERALS/SUPPLEMENTS,NOW,NO RETURN / NO REPLACEMENT,NEW COUNTRY,,
